Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Occurences,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1837,1,1,1,,,3,1,,0,Israel,2,ISRAEL and SYRIAN COASTS,33,35.5,,0,,4,,,,,,,,
1837,8,1,,,,1,0,,0,Netherlands,2,VLISSINGEN,51.44,3.57,,0,,,,,,,,,,
1837,8,2,,,,-1,9,,0,United States of America,283,VIRGIN ISLANDS,,,,1,,,,,,,,,,
1837,8,9,,,,2,1,6.5,0,Mexico,59,ACAPULCO,16.86,-99.88,,1,,0,,,,,,,,
1837,9,29,,,,2,1,7.3,0,Indonesia,228,BANDA ACEH,5.5,96,,3,,0.5,,,,,,2,,
1837,10,18,,,,2,1,7,0,Mexico,59,MEXICO CITY,19.45,-99.15,,1,,0,,,,,,,,
1837,10,,,,,2,0,,0,"Micronesia, Fed. States Of",4,CAROLINE ISLANDS,7.5,146.5,,3,,,,,,,,2,,
1837,11,7,12,51,,4,1,8.5,1,Chile,151,SOUTHERN CHILE,-42.5,-74,6,17,3,3,16,,,,,3,,
1838,5,7,,,,2,1,,0,Chile,151,CENTRAL CHILE,-36.7,-73.1,0.8,1,,,,,,,,,,
1838,8,10,20,30,,2,1,,0,Croatia,12,RIJEKA,45.3,14.5,,1,,3,,,,,,,,
1839,2,12,,,,1,4,,0,Chile,151,CENTRAL CHILE,-33.62,-76.83,,0,,,,,,,,,,
1839,3,,,,,1,1,,0,United States of America,283,HAWAII,,,,1,,,,,,,,,,
1839,5,1,,,,1,1,7.3,0,Japan,225,SE. HOKKAIDO ISLAND,42.5,145,,1,1,1,,,,,,,,
1839,,,,,,3,0,,0,New Zealand,86,"WAIKAWA, SOUTHLAND",-46.627,169.126,,1,,,,,,,,,,
1840,1,4,,,,2,1,7,0,Indonesia,228,JAVA,-8,110.5,,1,,0,,,,,,3,,
1840,1,16,,,,-1,9,,0,United States of America,283,S. CALIFORNIA,,,,1,,,,,,,,,,
1840,1,28,8,,,1,1,,0,Peru,53,CENTRAL PERU,-12.3,-77.3,,1,,0,,,,,,,,
1840,2,14,,,,2,1,,0,Indonesia,228,N. MOLUCCAS ISLANDS,0.8,127.325,,1,,0.5,,,,,,2,500,
1840,3,22,,,,1,1,6.5,0,Philippines,79,PHILIPPINE SEA,12.9,123.9,,1,1,1,52,,,200,,3,,
1840,7,28,,,,0,1,,0,New Zealand,86,WHITIANGA,-36.836,175.692,,1,,,,,,,,,,
1840,8,,,,,2,0,,0,New Zealand,86,EAST CAPE,-37.61,178.35,1,2,,,,,,,,,,
1840,11,11,,,,0,1,5.2,0,United States of America,283,"PHILADELPHIA, PENNSYLVANIA",39.8,-75.2,,1,,,,,,,,,,
1840,,,,,,-1,1,,0,United States of America,283,HAWAII,,,,1,,,,,,,,,,
1841,5,17,21,30,,4,1,8.4,1,Russia,90,KAMCHATKA,52,158,15,7,3.9,3,,,,,,2,,
1841,11,26,,,,3,1,,0,Indonesia,228,MOLUCCAS ISLANDS,-5,130,3,1,1.5,1.5,,,,,,,,
1841,12,16,,,,3,1,6,0,Indonesia,228,BANDA SEA,-4,127.5,1.5,4,1,1.5,,,,,,2,,
1841,,,,,,1,0,,0,Peru,53,PERU,,,,1,,,,,,,,,,
1842,5,7,21,,,4,1,8.1,0,Haiti,6,CAP-HAITIAN,19.75,-72.2,5,6,4.2,,5300,,,,,4,,
1842,11,1,,,,2,1,,0,Canada,25,ST. LAWRENCE,,,,0,,,,,,,,,,
